RSN,Vs30,EQID,Magnitude,Rjb,Lowest Usable Freq - Ave. Component (Hz),Tp,Duration_5_75,Duration_5_95
1,593.35,1.0,6.0,2.07,0.163,-999.0,1.151550826325415,2.4775532498638153
2,551.82,2.0,6.0,2.09,0.5,-999.0,0.252390546734379,0.6604936214331655
3,219.31,3.0,5.8,71.28,0.375,-999.0,8.13646733513336,22.43552425415485
4,213.44,4.0,5.0,32.44,0.875,-999.0,7.402486143761425,15.3231059409136
5,219.31,5.0,5.5,52.73,0.625,-999.0,3.9824368015452603,10.85425508900045
6,213.44,6.0,6.95,6.09,0.25,-999.0,14.9538046618322,24.16736889141915
7,219.31,7.0,6.6,91.15,0.163,-999.0,6.757362193862525,18.84152534375785
8,219.31,8.0,6.4,44.52,0.375,-999.0,4.16845559240536,14.25534394611355
9,213.44,9.0,6.5,56.88,0.125,-999.0,20.49092054661875,35.50576142041615
10,213.44,10.0,5.6,24.58,0.5,-999.0,14.5280444581872,26.542789171450053
11,219.31,11.0,5.8,53.73,0.5,-999.0,5.416392757401395,14.9301139037916
12,316.46,12.0,7.36,114.62,0.125,-999.0,17.875788722366202,31.478762772179948
13,415.13,12.0,7.36,122.65,0.25,-999.0,15.04062489426915,29.34830719496565
14,514.99,12.0,7.36,81.3,0.375,-999.0,11.906606860422649,31.03860932715965
15,385.43,12.0,7.36,38.42,0.125,-999.0,10.44868033145995,29.53417712490075
16,219.31,13.0,5.2,42.69,0.288,-999.0,5.13114183633793,17.4517302069586
17,493.5,14.0,6.0,73.35,0.138,-999.0,3.794484609617,12.75659181842615
18,213.44,15.0,5.5,15.11,0.75,-999.0,10.94384824186015,13.82198749542665
19,198.77,16.0,5.3,25.11,0.375,-999.0,9.592884757985335,23.317627982658003
20,219.31,17.0,6.5,26.72,0.125,-999.0,6.298756418080105,18.34666734306795
21,213.44,18.0,5.4,13.78,0.375,-999.0,8.042108523507816,18.37047749707685
22,213.44,19.0,6.8,121.0,0.288,-999.0,19.827887840882653,38.82314251610105
23,874.72,20.0,5.28,9.74,0.875,-999.0,1.150750595489275,4.511543869195055
24,198.77,21.0,5.0,7.28,0.413,-999.0,11.643554094436535,31.793992732036152
25,219.31,22.0,5.7,56.94,0.163,-999.0,9.746914206786734,26.704055931889002
26,198.77,23.0,5.6,19.55,0.125,-999.0,9.32112961679928,17.849992104247548
27,198.77,24.0,5.5,17.2,0.288,-999.0,6.50654613329234,15.558089449415899
28,408.93,25.0,6.19,17.64,0.125,-999.0,14.4791544459545,27.8249180688567
29,184.75,25.0,6.19,6.27,0.1,-999.0,-999.0,-999.0
30,289.56,25.0,6.19,9.58,0.163,-999.0,2.2805710859067148,6.991328155139995
31,256.82,25.0,6.19,12.9,0.125,-999.0,4.809397129901385,11.956190177931251
32,493.5,25.0,6.19,63.34,0.625,-999.0,7.741336023898086,17.2333176071415
33,527.92,25.0,6.19,15.96,0.188,-999.0,1.31998595619195,4.957619959702025
34,219.31,26.0,5.6,27.36,0.175,-999.0,2.706779773707665,18.72598185051685
35,198.77,27.0,5.2,37.11,0.375,-999.0,13.0728838624238,31.785208397199902
36,213.44,28.0,6.63,45.12,0.1,-999.0,21.38233256227705,45.24171114319195
37,316.46,28.0,6.63,222.42,0.163,-999.0,17.4462118328168,25.53118305083695
38,217.92,28.0,6.63,199.84,0.25,-999.0,29.7200960582732,37.0311349759623
39,415.13,28.0,6.63,207.14,0.163,-999.0,22.552242274179598,34.58921478229975
40,442.88,28.0,6.63,129.11,0.163,-999.0,18.894413084974502,27.9373217405815
41,450.28,29.0,5.33,103.23,0.5,-999.0,4.55301174162091,9.613141733205694
42,477.22,29.0,5.33,21.33,0.5,-999.0,1.2494746101921002,2.791766910771865
43,813.48,29.0,5.33,17.4,1.0,-999.0,-999.0,-999.0
44,301.95,29.0,5.33,29.18,0.5,-999.0,6.17112029234221,14.738871364024948
45,667.13,29.0,5.33,18.39,0.375,-999.0,0.9767266500549455,2.04637987617109
46,316.46,29.0,5.33,73.46,0.375,-999.0,4.862513130237826,12.307732726818148
47,425.34,29.0,5.33,90.25,1.0,-999.0,3.54354403233408,6.708344506465515
48,421.44,29.0,5.33,29.49,0.5,-999.0,5.026503538452415,9.637571562652536
49,667.13,29.0,5.33,42.14,0.5,-999.0,2.864969422830785,5.08811985000039
50,486.0,29.0,5.33,10.7,0.25,-999.0,1.534163512520065,3.099167148259125
51,280.56,30.0,6.61,55.2,0.25,-999.0,26.37566979957585,53.0026124154493
52,360.45,30.0,6.61,173.16,0.625,-999.0,7.216407782560345,14.15612507216655
53,241.41,30.0,6.61,111.88,0.125,-999.0,22.7104331140947,33.1873292932989
54,338.54,30.0,6.61,214.32,0.125,-999.0,12.652807758019751,21.1353466383678
55,385.69,30.0,6.61,111.37,0.125,-999.0,13.45021186687735,21.01433413025595
56,235.0,30.0,6.61,61.79,0.625,-999.0,8.39095366128527,18.1707104154291
57,450.28,30.0,6.61,19.33,0.375,-999.0,7.105976670468805,16.112608819414397
58,477.22,30.0,6.61,92.25,0.125,-999.0,4.537287314803709,9.593314658880871
59,813.48,30.0,6.61,89.37,0.375,-999.0,5.77085619830397,10.06193866271622
60,184.75,30.0,6.61,217.54,0.125,-999.0,17.061911554925402,24.5092736705191
61,256.82,30.0,6.61,218.17,0.125,-999.0,-999.0,-999.0
62,301.95,30.0,6.61,96.81,0.125,-999.0,4.980143645757485,7.29045014694293
63,634.33,30.0,6.61,25.58,0.188,-999.0,3.149943550851,13.67639453726415
64,394.18,30.0,6.61,59.52,0.125,-999.0,4.92057373956271,8.224488970657799
65,308.35,30.0,6.61,43.95,0.125,-999.0,3.57172644044972,7.17336193809955
66,328.09,30.0,6.61,139.14,0.5,-999.0,8.542560481624456,21.911312891785748
67,591.0,30.0,6.61,130.0,0.125,-999.0,19.81381185097425,26.2980098424834
68,316.46,30.0,6.61,22.77,0.1,-999.0,5.1413327335578405,13.28652553452155
69,217.92,30.0,6.61,58.99,0.125,-999.0,37.39196774470415,52.26932729631275
70,425.34,30.0,6.61,22.23,0.15,-999.0,6.20514365726407,17.06372878609435
71,602.1,30.0,6.61,13.99,0.25,-999.0,2.634527949160235,11.339225922188149
72,600.06,30.0,6.61,19.45,0.25,-999.0,3.936017401008915,12.883858783007401
73,670.84,30.0,6.61,17.22,0.625,-999.0,2.8598849608799197,10.58143126464795
74,303.79,30.0,6.61,193.25,0.125,-999.0,17.402147582975502,28.744104129645102
75,443.85,30.0,6.61,108.56,0.25,-999.0,13.3627379710835,21.955043759623052
76,441.25,30.0,6.61,109.01,0.25,-999.0,14.142709342878149,23.11751684224215
77,2016.13,30.0,6.61,0.0,0.088,1.638,5.639761130826615,7.144730562442495
78,452.86,30.0,6.61,24.16,0.188,-999.0,-999.0,-999.0
79,415.13,30.0,6.61,25.47,0.375,-999.0,6.351440514533341,13.425109710640651
80,969.07,30.0,6.61,21.5,0.625,-999.0,4.530195525784225,10.504294575766899
81,529.09,30.0,6.61,35.54,0.25,-999.0,6.93638106636707,13.69591267232695
82,248.98,30.0,6.61,68.84,0.063,-999.0,34.5853160491652,49.0093040724201
83,421.44,30.0,6.61,52.64,0.25,-999.0,5.94766726037615,14.168452386816
84,354.06,30.0,6.61,205.77,0.125,-999.0,15.05088364084435,22.8406201832093
85,459.37,30.0,6.61,108.01,0.25,-999.0,16.599548141242252,40.12055198221995
86,442.88,30.0,6.61,124.79,0.25,-999.0,14.880312770153651,35.154262869329955
87,667.13,30.0,6.61,30.7,0.375,-999.0,5.813224165999266,11.1276498695953
88,389.0,30.0,6.61,24.69,0.125,-999.0,6.24100164407418,19.95307706207225
89,669.48,30.0,6.61,61.75,0.25,-999.0,3.27843369880799,9.157453002426461
90,322.42,30.0,6.61,124.38,0.25,-999.0,28.2139828742402,49.2773679295824
91,487.23,30.0,6.61,61.72,0.375,-999.0,6.66451666909771,13.712911241685351
92,347.67,30.0,6.61,68.38,0.125,-999.0,6.72120939009246,17.06717259823495
93,298.68,30.0,6.61,39.45,0.125,-999.0,7.02780985221567,19.3833317998774
94,486.0,30.0,6.61,61.64,0.25,-999.0,7.137018538541495,11.4467379723183
95,288.77,31.0,6.24,3.51,0.375,-999.0,4.566881372962355,9.429096604357126
96,288.77,32.0,5.2,4.33,0.125,-999.0,2.471727907095775,7.846986856642545
97,248.98,33.0,5.65,15.48,0.25,-999.0,4.8377816065878605,12.260582674538249
98,1428.14,34.0,5.14,9.99,1.625,-999.0,-999.0,-999.0
99,198.77,34.0,5.14,8.85,0.375,-999.0,2.86453408271647,10.391209240316336
100,335.5,34.0,5.14,8.56,0.375,-999.0,3.4075687151722898,8.657434509614134
101,567.78,35.0,5.2,28.73,1.625,-999.0,2.991909715084,4.14482667834854
102,219.31,35.0,5.2,8.2,0.5,-999.0,8.119164765523214,21.568994449013402
103,368.72,35.0,5.2,28.48,0.413,-999.0,2.21171446854097,4.47978015971996
104,594.83,35.0,5.2,58.78,1.25,-999.0,-999.0,-999.0
105,518.98,35.0,5.2,59.7,1.0,-999.0,-999.0,-999.0
106,680.37,36.0,5.89,7.79,3.75,-999.0,-999.0,-999.0
107,391.76,37.0,4.79,13.55,0.288,-999.0,2.187266545546305,5.46861025146006
108,377.25,37.0,4.79,12.07,0.538,-999.0,3.220505749232975,6.862975615564125
109,519.15,38.0,4.37,9.22,0.313,-999.0,1.564311793284505,4.368707654840165
110,391.76,38.0,4.37,13.37,0.25,-999.0,2.834543764547935,6.663792605988055
111,377.25,38.0,4.37,11.0,0.413,-999.0,2.172722361474555,5.599181990751459
112,427.38,39.0,4.7,5.95,0.875,-999.0,1.51163209505787,4.708720470726215
113,634.85,39.0,4.7,0.0,4.125,-999.0,0.775657042516504,2.582812063752935
114,418.97,39.0,4.7,7.35,0.875,-999.0,1.284170765246325,4.3869096119843345
115,589.8,39.0,4.7,7.38,1.25,-999.0,1.43399684608203,4.56790428080449
116,514.91,39.0,4.7,0.77,1.25,-999.0,1.28071013928533,4.0066257191099055
117,391.76,39.0,4.7,8.67,0.625,-999.0,1.1564600067902535,4.92339694225646
118,352.22,39.0,4.7,8.7,0.625,-999.0,0.9872913119150304,4.148570391205984
119,548.76,39.0,4.7,4.79,1.25,-999.0,1.513928561440395,5.471042240454965
120,377.25,39.0,4.7,10.2,0.5,-999.0,0.7741676602272475,3.65784281630922
121,496.46,40.0,6.5,49.13,0.15,-999.0,4.115635004459235,9.968628478634354
122,249.28,40.0,6.5,33.32,0.125,-999.0,10.2826763607448,18.1385703544221
123,352.05,40.0,6.5,80.37,0.5,-999.0,7.35350491222704,17.6149843957909
124,356.39,40.0,6.5,102.05,1.125,-999.0,4.89134049264513,12.51066056253
125,505.23,40.0,6.5,14.97,0.163,-999.0,2.52191389202836,4.582718447173486
126,259.59,41.0,6.8,3.92,0.25,-999.0,5.06306159775981,6.670520764610854
127,310.68,42.0,5.5,10.56,0.5,-999.0,4.208392029417335,13.002445153151399
128,412.37,42.0,5.5,16.33,0.375,-999.0,2.30213759527232,4.624779386124745
129,649.67,42.0,5.5,16.26,0.5,-999.0,1.146989358098804,4.339830958658185
130,310.68,43.0,5.91,10.99,0.25,-999.0,4.507239417426035,9.185714361550685
131,249.28,43.0,5.91,41.37,0.25,-999.0,11.330914257261199,21.97282173354445
132,412.37,43.0,5.91,14.65,0.275,-999.0,2.3575570745079553,4.53746062576848
133,649.67,43.0,5.91,14.37,0.288,-999.0,2.551503932933815,5.035685706414585
134,535.24,44.0,5.3,0.74,1.25,-999.0,0.4145035285762285,1.172363843650635
