T,Mean,Sd
0.1,0.8444495617226734,0.5033640529183352
0.15,0.8016922851067139,0.5121660632450934
0.2,0.7379754980937888,0.53112376494439
0.25,0.6379558763477254,0.5412087581630927
0.3,0.5641473504435511,0.5559028173698953
0.4,0.4421008489739861,0.5780548986827692
0.5,0.3608891985195754,0.5997438327586659
0.75,0.252887485390078,0.6322062570784368
1.0,0.1846900108489017,0.6415557912674105
1.5,0.11460163022357969,0.6551433455036955
2.0,0.08171054178946728,0.6594026858268006
3.0,0.05073453369312181,0.6639750032143493
4.0,0.0371150677645557,0.6742396744065758
5.0,0.028835367854637795,0.6928430985128894
7.5,0.015615609136614196,0.6862267268650272
10.0,0.009660795841681703,0.7009296982539683
