RSN,SF,Vs30,EQID,Magnitude,Rjb,Lowest Usable Freq - Ave. Component (Hz),Tp,Duration_5_75,Duration_5_95,scale
2628,2.4007692153056612,443.04,172.0,6.2,0.0,0.05,-999.0,2.189949006417645,5.27964117196278,2.4007692153056612
879,1.0843742353370807,1369.0,125.0,7.28,2.19,0.0,5.124,8.31932251768481,13.4641053606061,1.0843742353370807
801,2.713024268921612,671.77,118.0,6.93,14.18,0.038,-999.0,6.25396463038242,10.13733815236615,2.713024268921612
184,3.915285843175079,202.26,50.0,6.53,5.09,0.029,6.265,3.359101378516375,6.78573063899354,3.915285843175079
4205,4.703469929051514,488.65,180.0,6.63,39.83,0.05,-999.0,12.550251396538648,38.9509973002749,4.703469929051514
3969,4.162124880390828,254.26,176.0,6.61,32.75,0.035,-999.0,5.6980294882271,18.4356284010524,4.162124880390828
3947,1.4721001367515292,446.34,176.0,6.61,5.83,0.063,-999.0,4.8569129326139455,22.37878253757495,1.4721001367515292
170,3.4646567039936738,192.05,50.0,6.53,7.31,0.075,4.417,4.194282946247335,11.78564956021615,3.4646567039936738
1626,4.703469929051514,649.67,140.0,7.68,34.61,0.08,-999.0,12.62608855529345,26.8733960664621,4.703469929051514
5985,2.713024268921612,202.26,280.0,7.2,22.83,0.05,-999.0,8.339452391789528,13.55108869393505,2.713024268921612
4781,1.5649086301784731,430.47,277.0,7.9,27.23,0.081,-999.0,18.53705159040035,43.8930276504387,1.5649086301784731
